company_name;location;logo;title;Category;description;requirement;updated_at;contract_type;url
SAMIC PLC;Preah Sihanouk;https://media.everjobs.com.kh/storage//company/84/284/image//samic-plc.jpg;Teller (Prey Nob);Accounting / Finance ;- Greet warmly the clients and other stakeholders at the counter,<br/>- Receive and promote SAMIC’s products/services to prospective clients as well as to build, remind and strengthen the credit discipline to clients and uncover complaints and challenges raised by clients,<br/>- Review and check the accuracy and completeness of loan application form and identify the right client before loan disbursement,<br/>- Record all transactions including loan disbursement, collection, deposit, withdrawal, Cash book, Bank book, Revenues and expenses receipt, and other required documents,<br/>- Keep and arrange the cash in the vault and ensure that the transaction was done and closed its balance daily as assigned by Cashier,<br/>- Check the completeness, date of issues and its actual transaction and authorized person, responsibility, accuracy, classification and other memos,<br/>- Record all transactions occurring within a day into the Books with sufficient references before submitting to the Cashier to review,<br/>- Check and verify the referent documents like OR and Pay-out Slip of each credit officer with the collection and advance collection before recording into the books and posting into the systems,<br/>- Report the amount of cash on hand, cash in bank, numbers of clients, loan portfolio and the information of past due to the head office on a daily basis during the absence of cashier,<br/>- Record, review and take a good care of all SAMIC’s assets,<br/>- Perform other tasks as may be assigned by the Cashier/DBM,;- Bachelor Degree or under graduate in Accounting, Finance and Banking or the related field.<br/>- Good interpersonal skills,<br/>- Hardworking and self-motivated person.<br/>- Willing to learn new things and quick learner<br/>- Attention to details and simplicity;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/samic-plc/teller-prey-nob.html
SAMIC PLC;Kampong Speu;https://media.everjobs.com.kh/storage//company/84/284/image//samic-plc.jpg;មន្រី្តឥណទាន (K.Speu);Accounting / Finance ;- ចុះបំពេញការងារតាមសហគមគោលដៅ និងមានសមត្ថភាពធ្វើការប៉ាន់ប្រមាណក្រុមគ្រួសារមុននឹងសម្រេចផ្តល់ប្រាក់កម្ចី។<br/>- មានសមត្ថភាពស្វែងរក និងគ្រប់គ្រងអតិថិជនបានល្អ។<br/>- មានប្រាស្រ័យទាក់ទងល្អ និងផ្សព្វផ្សាយផលិតផលរបស់ សាមិក។<br/>- មានសមត្ថភាពអាចរៀបចំឯកសារប្រាក់កម្ចីជាមួយក្រុមការងារ ប្រធានក្រុមមន្ត្រីឥណទាន/ប្រធានសាខាស្រុក។<br/>- អាចរៀបចំឯកសារប្រាក់កម្ចី និងមានសមត្ថភាពទម្លាក់ប្រាក់កម្ចីឲ្យអតិថិជន។<br/>- ចេះរៀបចំផែនការការងារ និងរៀបចំផែនការប្រមូលប្រាក់កម្ចីពីអតិថិជន។<br/>- មានប្រាស្រ័យទាក់ទងល្អជាមួយអាជ្ញាធរមូលដ្ឋាន ក្រុមគ្រួសារ ដើម្បីពង្រីកចំនួនអតិថិជនឲ្យបានចំនួនច្រើន។<br/>- ចេះលើកទឹកចិត្ត និង បង្កើនសមាជិកភាពឲ្យកាន់តែច្រើន តាមរយៈការទំនាក់ទំនងល្អ<br/>- ជាមួយអតិថិជន ដើម្បីបង្កើនភាពស្មោះត្រង់ និង ភាពជឿរជាក់។<br/>- ទទួលការងារពាក់ព័ន្ធដែលបានចាត់តាំងដោយប្រធានសាខាស្រុក។;- និស្សិតកំពុងបន្តការសិក្សាថ្នាក់មហាវិទ្យាល័យ ឬ ទើបបានបញ្ចប់/ បរិញ្ញាបត្ររង ឬ សញ្ញាបត្រដែលមានតម្លៃស្មើ។<br/>- មានបទពិសោធន៍ពាក់ព័ន្ធនឹង ការងារកាន់តែប្រសើរ។<br/>- ចេះនិយាយ និង ប្រើប្រាស់ភាសាអង់គ្លេសបានកាន់តែល្អ។<br/>- មានចរិតស្លូតបូត សុភាពរាបសា និងមានការទំនាក់ទំនងល្អជាមួយមនុស្សទូទៅ។<br/>- ខិតខំធើ្វការងារ និងចេះលើកទឹកចិត្តខ្លួនឯង។<br/>- មានឆន្ទៈខ្ពស់ក្នុងការទទួលយកការងារថ្មីៗ<br/>- តស៊ូព្យាយាមក្នុងការងារ និងមានភាពស្មោះត្រង់។;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/samic-plc/k-speu.html
SAMIC PLC;Phnom Penh;https://media.everjobs.com.kh/storage//company/84/284/image//samic-plc.jpg;មន្រី្តឥណទាន (PP);Accounting / Finance ;- ចុះបំពេញការងារតាមសហគមគោលដៅ និងមានសមត្ថភាពធ្វើការប៉ាន់ប្រមាណក្រុមគ្រួសារមុននឹងសម្រេចផ្តល់ប្រាក់កម្ចី។<br/>- មានសមត្ថភាពស្វែងរក និងគ្រប់គ្រងអតិថិជនបានល្អ។<br/>- មានប្រាស្រ័យទាក់ទងល្អ និងផ្សព្វផ្សាយផលិតផលរបស់ សាមិក។<br/>- មានសមត្ថភាពអាចរៀបចំឯកសារប្រាក់កម្ចីជាមួយក្រុមការងារ ប្រធានក្រុមមន្ត្រីឥណទាន/ប្រធានសាខាស្រុក។<br/>- អាចរៀបចំឯកសារប្រាក់កម្ចី និងមានសមត្ថភាពទម្លាក់ប្រាក់កម្ចីឲ្យអតិថិជន។<br/>- ចេះរៀបចំផែនការការងារ និងរៀបចំផែនការប្រមូលប្រាក់កម្ចីពីអតិថិជន។<br/>- មានប្រាស្រ័យទាក់ទងល្អជាមួយអាជ្ញាធរមូលដ្ឋាន ក្រុមគ្រួសារ ដើម្បីពង្រីកចំនួនអតិថិជនឲ្យបានចំនួនច្រើន។<br/>- ចេះលើកទឹកចិត្ត និង បង្កើនសមាជិកភាពឲ្យកាន់តែច្រើន តាមរយៈការទំនាក់ទំនងល្អ<br/>- ជាមួយអតិថិជន ដើម្បីបង្កើនភាពស្មោះត្រង់ និង ភាពជឿរជាក់។<br/>- ទទួលការងារពាក់ព័ន្ធដែលបានចាត់តាំងដោយប្រធានសាខាស្រុក។;- និស្សិតកំពុងបន្តការសិក្សាថ្នាក់មហាវិទ្យាល័យ ឬ ទើបបានបញ្ចប់/ បរិញ្ញាបត្ររង ឬ សញ្ញាបត្រដែលមានតម្លៃស្មើ។<br/>- មានបទពិសោធន៍ពាក់ព័ន្ធនឹង ការងារកាន់តែប្រសើរ។<br/>- ចេះនិយាយ និង ប្រើប្រាស់ភាសាអង់គ្លេសបានកាន់តែល្អ។<br/>- មានចរិតស្លូតបូត សុភាពរាបសា និងមានការទំនាក់ទំនងល្អជាមួយមនុស្សទូទៅ។<br/>- ខិតខំធើ្វការងារ និងចេះលើកទឹកចិត្តខ្លួនឯង។<br/>- មានឆន្ទៈខ្ពស់ក្នុងការទទួលយកការងារថ្មីៗ<br/>- តស៊ូព្យាយាមក្នុងការងារ និងមានភាពស្មោះត្រង់។;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/samic-plc/pp-28.html
SAMIC PLC;Kep;https://media.everjobs.com.kh/storage//company/84/284/image//samic-plc.jpg;មន្រី្តឥណទាន (Kep);Accounting / Finance ;- ចុះបំពេញការងារតាមសហគមគោលដៅ និងមានសមត្ថភាពធ្វើការប៉ាន់ប្រមាណក្រុមគ្រួសារមុននឹងសម្រេចផ្តល់ប្រាក់កម្ចី។<br/>- មានសមត្ថភាពស្វែងរក និងគ្រប់គ្រងអតិថិជនបានល្អ។<br/>- មានប្រាស្រ័យទាក់ទងល្អ និងផ្សព្វផ្សាយផលិតផលរបស់ សាមិក។<br/>- មានសមត្ថភាពអាចរៀបចំឯកសារប្រាក់កម្ចីជាមួយក្រុមការងារ ប្រធានក្រុមមន្ត្រីឥណទាន/ប្រធានសាខាស្រុក។<br/>- អាចរៀបចំឯកសារប្រាក់កម្ចី និងមានសមត្ថភាពទម្លាក់ប្រាក់កម្ចីឲ្យអតិថិជន។<br/>- ចេះរៀបចំផែនការការងារ និងរៀបចំផែនការប្រមូលប្រាក់កម្ចីពីអតិថិជន។<br/>- មានប្រាស្រ័យទាក់ទងល្អជាមួយអាជ្ញាធរមូលដ្ឋាន ក្រុមគ្រួសារ ដើម្បីពង្រីកចំនួនអតិថិជនឲ្យបានចំនួនច្រើន។<br/>- ចេះលើកទឹកចិត្ត និង បង្កើនសមាជិកភាពឲ្យកាន់តែច្រើន តាមរយៈការទំនាក់ទំនងល្អ<br/>- ជាមួយអតិថិជន ដើម្បីបង្កើនភាពស្មោះត្រង់ និង ភាពជឿរជាក់។<br/>- ទទួលការងារពាក់ព័ន្ធដែលបានចាត់តាំងដោយប្រធានសាខាស្រុក។;- និស្សិតកំពុងបន្តការសិក្សាថ្នាក់មហាវិទ្យាល័យ ឬ ទើបបានបញ្ចប់/ បរិញ្ញាបត្ររង ឬ សញ្ញាបត្រដែលមានតម្លៃស្មើ។<br/>- មានបទពិសោធន៍ពាក់ព័ន្ធនឹង ការងារកាន់តែប្រសើរ។<br/>- ចេះនិយាយ និង ប្រើប្រាស់ភាសាអង់គ្លេសបានកាន់តែល្អ។<br/>- មានចរិតស្លូតបូត សុភាពរាបសា និងមានការទំនាក់ទំនងល្អជាមួយមនុស្សទូទៅ។<br/>- ខិតខំធើ្វការងារ និងចេះលើកទឹកចិត្តខ្លួនឯង។<br/>- មានឆន្ទៈខ្ពស់ក្នុងការទទួលយកការងារថ្មីៗ<br/>- តស៊ូព្យាយាមក្នុងការងារ និងមានភាពស្មោះត្រង់។;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/samic-plc/kep-14.html
Y CHHE Construction Material;Phnom Penh;https://media.everjobs.com.kh/storage//company/83/83/image//y-chhe-group.png;Assistant Purchasing officer;Accounting / Finance ;- Assistant Purchasing officer;;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/y-chhe-construction-material/assistant-purchasing-officer.html
Y CHHE Construction Material;Phnom Penh;https://media.everjobs.com.kh/storage//company/83/83/image//y-chhe-group.png;Domestic Purchasing;Accounting / Finance ;- Domestic Purchasing;;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/y-chhe-construction-material/domestic-purchasing.html
Khmer Brewery Limited;Phnom Penh;https://media.everjobs.com.kh/storage//company/87/87/image//khmer-brewery.jpg;Key Account Supervisors;Accounting / Finance ;- Perform daily sales call in allocated areas, conduct order taking and standard routine checks.<br/>- Responsible for products presentation, and ensure full stocks level maintained in all outlets within the assigned territory.<br/>- Perform quality Indoor and Outdoor branding, merchandising display within assigned territory.<br/>- Conduct and execute sales activities and marketing initiatives to achieve sales objective.<br/>- Manage distributor and distribution channels, ensure distributor objectives and targets achieved.<br/>- Maintain strong and long-term business relationships with outlets and distributors, ensuring overall servicing of outlets/ customers are met.<br/>- Timely reporting on sales activities and sales performance by submitting accurate activity report on a regular basis.;- Bachelor Degree in Sales and Marketing or related field.<br/>- At least 3-5 years’ experience in selling of consumer products<br/>- Good experience and knowledge of FMCG industry, competitor movements and customers’ value chain.<br/>- Always maintain professional appearance and promote positive company image.<br/>- Honest and willingness to work at flexible schedule and night market visits.<br/>- Intellectual and able to work under pressure.<br/>- Excellent interpersonal and communication skills, and good in problem solving skill.<br/>- Excellent command of spoken and written English and able to communicate with foreigners.<br/>- Possession of a valid state driving license and be able to drive.<br/>- Able to travel and station in upcountry.<br/>- Computer literate<br/>- Able to speak Chinese or other languages is an added advantage;04 July 2016;;https://www.everjobs.com.kh/en/employer/khmer-brewery-limited/key-account-supervisors-4.html
First Solutions ( Cambodia) Co., Ltd;Phnom Penh;https://media.everjobs.com.kh/storage//company/44/3044/image//fs-logo.png;Tax Executive ( $550-$600 );Accounting / Finance ;• Export Sales invoice dimensional report of each month and reclassify it base on the product.<br/>• Calculate for prepayment tax and specific tax.<br/>• Make sure all the sales transaction are correctly declare.<br/>• Export Purchase VAT Report from OB system for making Purchase Report for Tax Department.<br/>• Export Sales Invoice VAT Report for making Sales Report for Tax Department<br/>• Reconciliation of VAT Input and VAT Output in the OB system and Purchase Record and Sales Record for the Tax Department are correctly declared.<br/>• Go through Purchase VAT Report to calculate for Withholding tax 14%, 15% and Fringe Benefit tax of Expatriate.<br/>• Compare the GL of Withholding tax and Fringe Benefit Tax with Report for declare<br/>• Fill in all the information to Tax Form.<br/>• Prepare the Tax Declaration base on the month<br/>• Arrange monthly tax, and review Tax on Profit;- Female / Male<br/>- Experience in Taxation field more than 3 years<br/>- Experience in Beverage field is preferable<br/>- Knowledge of accounting & finance systems<br/>- Honest, Hardworking, flexible<br/>- Experience in Big 4 is Preferable.;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/first-solutions-cambodia-co-ltd/tax-executive-550-600-10.html
AMK Microfinance Institution;Phnom Penh;https://media.everjobs.com.kh/storage//company/47/47/image//mak.jpg;Business Analyst (2 Posts);Accounting / Finance ;- Conduct business analysis including the performance review and service quality of agent network and ATM<br/>- Provide accurate and timely reporting of performance metrics<br/>- Analyze competitors, customers, markets, value propositions and provide market intelligent report<br/>- Monitor suspicious transactions for potentially suspicious activities, identify and investigate and related to agent and ATM<br/>- Escalate the findings to relevant team and branch for taking action effectively<br/>- Other tasks and projects assigned by manager;- Bachelor’s degree in business, statistics, finance, economics & information technology,<br/>- 2+ years of data business analysis in banking, mobile banking, telecom or any related industry,<br/>- Strong analytic and critical thinking skills,<br/>- Exceptional written, oral, and presentation communication abilities,<br/>- Expertise with Excel and common data analytics tool required,<br/>- Knowledge of SPSS and/or SQL language is an advantage;04 July 2016;;https://www.everjobs.com.kh/en/employer/amk-microfinance-institution/business-analyst-2-posts-1.html
AMK Microfinance Institution;Phnom Penh;https://media.everjobs.com.kh/storage//company/47/47/image//mak.jpg;Senior Core Banking Support Officer;Accounting / Finance ;- Report to : Core Banking Support Manager<br/>- Liaise with all business lines including Credit and Non-credit to define business requirements and enhance system functionalities<br/>- Liaise with relevant teams including MIS and IT Infrastructure for any technical requirements<br/>- Act as a project member in Temenos T24 project implementation<br/>- Act as a coordinator with Temenos T24 for incident resolution and change request<br/>- Support and maintain Core Banking System<br/>- Work with team to create user manual for end users<br/>- Work with team to create internal procedure/process of core banking system<br/>- Participate new development functional/non-functional testing<br/>- Work with team to develop end-user training material<br/>- Raise system issue and monitor to close issues follow SLA<br/>- Perform other tasks as provided by Line Manager;- Bachelor Degree in IT/MIS or Equivalent<br/>- Experience in Banking or Micro Finance industry is preferred<br/>- Good knowledge in core banking system, especially Temenos T24<br/>- Knowledge of financial/accounting principles, banking operation, E-banking features and components<br/>- Knowledge of Oracle Database<br/>- Minimum two years working experiences in core banking system<br/>- Be fluent in spoken and written English<br/>- Good integrity, positive attitude, be helpful, high commitment, competence and motivation<br/>- Ability to proactively analyze processes and suggest improvements;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/amk-microfinance-institution/senior-core-banking-support-officer.html
AMK Microfinance Institution;Phnom Penh;https://media.everjobs.com.kh/storage//company/47/47/image//mak.jpg;Micro Insurance Support Officer;Accounting / Finance ;- Report to: Senior Micro Insurance Support Officer<br/>- Work closely with branch team especially branch manager on micro insurance implement<br/>- Monitor product performance and coach to branch staff on product understand as need.<br/>- Ensure that each branch have enough POS material for selling and promoting and field visit.<br/>- Solving problem with branch staff and client complain.<br/>- Consolidated and analysis report.<br/>- Support system.<br/>- Verify and check claim document send by branch staff and paid to client via account or communicate directly to client if claim not applicable or not approval.<br/>- Assist SMIO to create new product and develop the existing product.<br/>- Other tasks assign by SMIO.;- Bachelor’s Degree in management, administrator, marketing or related filed.<br/>- At least 2 years’ experience in these area (banking/microfinance experience is preferred)<br/>- Experience in micro insurance and claim is an advantage<br/>- High energy individual who can motivate staff and create business momentum.<br/>- Very strong communication skills in English and Khmer (written and spoken)<br/>- Ability to work with cross functional teams.<br/>- Strong conceptualization and analytical skills.<br/>- Honesty and excellent interpersonal skills<br/>- Willing to travel for field work at any AMK branch or sub-branch.;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/amk-microfinance-institution/micro-insurance-support-officer.html
Angkor Dairy Products;Phnom Penh;https://media.everjobs.com.kh/storage//company/09/209/image//angkor-dairy.jpg;Sale Men (04 Positions);Accounting / Finance ;- Sale product to customer<br/>- Good Service with customer<br/>- Build good relationship with customerCustomer surveys<br/>- Daily, Weekly and monthly report;- Male/Female, from 18-30 years old<br/>- At least one year experience<br/>- Grade 12 up to<br/>- Good communication and Interpersonal skills<br/>- Patience and responsibilities<br/>- Honest and respected time<br/>- Able to perform under pressure working environment<br/>- Active, self-motivated;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/angkor-dairy-products/sale-men-04-positions.html
AMK Microfinance Institution;Phnom Penh;https://media.everjobs.com.kh/storage//company/47/47/image//mak.jpg;Claim Officer;Accounting / Finance ;- Report to: Senior Micro Insurance Support Officer<br/>- Work closely with branch team especially branch manager on micro insurance implement.<br/>- Monitor product performance and coach to branch staff on product understand as need.<br/>- Solving problem with branch staff and client complaint.<br/>- Verify and check claim document and communicate with client if claim not applicable.<br/>- Investigate validity of claim requests<br/>- Ensure the efficiency and quality of claims process.<br/>- Responsibility for entire claims settlement.<br/>- Maintain all claims documentation.<br/>- Consolidate and analysis claim report<br/>- Assist SMIO to create new product or develop the existing product.<br/>- Other task assign by SMIO;- Diploma of Nurse, Bachelor’s Degree in management, administrator, accounting or related filed,<br/>- At least 2 years’ experience in claims settlement on insurance.<br/>- Good written and verbal communication in Khmer and English<br/>- Excellent computer skills (MS Word, Excel, PowerPoint, Outlook and system)<br/>- High energy individual who can motivate staff and create business momentum.<br/>- Ability to work with cross functional teams.<br/>- Strong conceptualization and analytical skills.<br/>- Honesty and excellent interpersonal skills<br/>- Willing to travel for field work at any AMK branch or sub-branch.;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/amk-microfinance-institution/claim-officer-02-positions.html
Credit Mutuel Kampuchea;Phnom Penh;https://media.everjobs.com.kh/storage//company/30/930/image//cmk.png;Branch Officer;Accounting / Finance ;- Ensure the commercial and memberships’ development of the Branch by staying out in the field and promote product and service<br/>- Manage the branch team<br/>- Drive the financial management of the branch<br/>- Monitor loan activities<br/>- Develop partnerships.;- Excellence sales and commercial negotiation skills<br/>- Positive attitude and strong interpersonal skills<br/>- Work experience in a similar role is preferred<br/>- Degree or Diploma in a related discipline<br/>- Good level of English(both writing and speaking) is required;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/credit-mutuel-kampuchea/branch-officer.html
